Age,Income,Credit_Score,Credit_Utilization,Missed_Payments,Delinquent_Account,Loan_Balance,Debt_to_Income_Ratio,Account_Tenure,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Credit_Card_Type_Business,Credit_Card_Type_Gold,Credit_Card_Type_Platinum,Credit_Card_Type_Standard,Credit_Card_Type_Student,Employment_Status_EMP,Employment_Status_Employed,Employment_Status_Self-employed,Employment_Status_Unemployed,Employment_Status_employed,Employment_Status_retired,Location_Chicago,Location_Houston,Location_Los Angeles,Location_New York,Location_Phoenix
56,165580.0,398.0,0.390501928600237,3,0,16310.0,0.31739611496857,18,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
69,100999.0,493.0,0.312444033226017,6,1,17401.0,0.196092643360821,0,1,1,0,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
46,188416.0,500.0,0.359930238508409,0,0,13761.0,0.301654939890911,1,1,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
32,101672.0,413.0,0.371400355303824,3,0,88778.0,0.264794439228806,15,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
60,38524.0,487.0,0.234715862628201,2,0,13316.0,0.510583482534848,11,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
25,84042.0,700.0,0.650540429714525,6,0,48361.0,0.260687881080009,7,2,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
38,35056.0,354.0,0.390580940522579,3,0,4638.0,0.484265137288334,17,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
56,123215.0,415.0,0.532714667117731,5,0,55776.0,0.358695229118337,1,2,2,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
36,66991.0,405.0,0.413034847617951,5,1,,0.219854102927027,12,2,2,2,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
40,34870.0,679.0,0.361823917542758,4,0,93922.0,0.333081092525975,5,2,1,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
28,42532.0,340.0,0.83445584721737,4,0,82909.0,0.269559025366218,5,2,0,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
28,70479.0,679.0,0.684586436441881,3,0,75777.0,0.324215749074123,8,2,1,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
41,56975.0,320.0,0.126359920008971,0,0,15171.0,0.228610901256673,15,0,0,1,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
